"train_number","date","station","departure_delay","delay_change"
"Ex 42","2026-02-04","Žilina",60,45
"Ex 42","2026-02-04","Považská Bystrica",60,0
"Ex 42","2026-02-04","Púchov",58,-2
"Ex 42","2026-02-04","Trenčín",57,-1
"Ex 42","2026-02-04","Trnava",54,-3
"Ex 42","2026-02-04","Bratislava-Vinohrady",51,-3
"Ex 42","2026-02-04","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-05","Košice",2,NULL
"Ex 42","2026-02-05","Kysak",30,28
"Ex 42","2026-02-05","Margecany",30,0
"Ex 42","2026-02-05","Spišská Nová Ves",27,-3
"Ex 42","2026-02-05","Poprad-Tatry",25,-2
"Ex 42","2026-02-05","Štrba",24,-1
"Ex 42","2026-02-05","Liptovský Mikuláš",24,0
"Ex 42","2026-02-05","Ružomberok",21,-3
"Ex 42","2026-02-05","Kraľovany",20,-1
"Ex 42","2026-02-05","Vrútky",17,-3
"Ex 42","2026-02-05","Žilina",88,71
"Ex 42","2026-02-05","Považská Bystrica",86,-2
"Ex 42","2026-02-05","Púchov",84,-2
"Ex 42","2026-02-05","Trenčín",83,-1
"Ex 42","2026-02-05","Trnava",81,-2
"Ex 42","2026-02-05","Bratislava-Vinohrady",80,-1
"Ex 42","2026-02-05","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-06","Košice",12,NULL
"Ex 42","2026-02-06","Kysak",10,-2
"Ex 42","2026-02-06","Margecany",10,0
"Ex 42","2026-02-06","Spišská Nová Ves",8,-2
"Ex 42","2026-02-06","Poprad-Tatry",5,-3
"Ex 42","2026-02-06","Štrba",2,-3
"Ex 42","2026-02-06","Liptovský Mikuláš",9,7
"Ex 42","2026-02-06","Ružomberok",6,-3
"Ex 42","2026-02-06","Kraľovany",4,-2
"Ex 42","2026-02-06","Vrútky",2,-2
"Ex 42","2026-02-06","Žilina",7,5
"Ex 42","2026-02-06","Považská Bystrica",6,-1
"Ex 42","2026-02-06","Púchov",56,50
"Ex 42","2026-02-06","Trenčín",54,-2
"Ex 42","2026-02-06","Trnava",53,-1
"Ex 42","2026-02-06","Bratislava-Vinohrady",51,-2
"Ex 42","2026-02-06","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-07","Košice",8,NULL
"Ex 42","2026-02-07","Kysak",6,-2
"Ex 42","2026-02-07","Margecany",5,-1
"Ex 42","2026-02-07","Spišská Nová Ves",3,-2
"Ex 42","2026-02-07","Poprad-Tatry",3,0
"Ex 42","2026-02-07","Štrba",22,19
"Ex 42","2026-02-07","Liptovský Mikuláš",21,-1
"Ex 42","2026-02-07","Ružomberok",18,-3
"Ex 42","2026-02-07","Kraľovany",18,0
"Ex 42","2026-02-07","Vrútky",16,-2
"Ex 42","2026-02-07","Žilina",16,0
"Ex 42","2026-02-07","Považská Bystrica",14,-2
"Ex 42","2026-02-07","Púchov",13,-1
"Ex 42","2026-02-07","Trenčín",11,-2
"Ex 42","2026-02-07","Trnava",11,0
"Ex 42","2026-02-07","Bratislava-Vinohrady",8,-3
"Ex 42","2026-02-07","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-08","Košice",0,NULL
"Ex 42","2026-02-08","Kysak",0,0
"Ex 42","2026-02-08","Margecany",9,9
"Ex 42","2026-02-08","Spišská Nová Ves",8,-1
"Ex 42","2026-02-08","Poprad-Tatry",8,0
"Ex 42","2026-02-08","Štrba",6,-2
"Ex 42","2026-02-08","Liptovský Mikuláš",4,-2
"Ex 42","2026-02-08","Ružomberok",4,0
"Ex 42","2026-02-08","Kraľovany",2,-2
"Ex 42","2026-02-08","Vrútky",2,0
"Ex 42","2026-02-08","Žilina",1,-1
"Ex 42","2026-02-08","Považská Bystrica",0,-1
"Ex 42","2026-02-08","Púchov",2,2
"Ex 42","2026-02-08","Trenčín",2,0
"Ex 42","2026-02-08","Trnava",4,2
"Ex 42","2026-02-08","Bratislava-Vinohrady",3,-1
"Ex 42","2026-02-08","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-09","Košice",0,NULL
"Ex 42","2026-02-09","Kysak",0,0
"Ex 42","2026-02-09","Margecany",0,0
"Ex 42","2026-02-09","Spišská Nová Ves",0,0
"Ex 42","2026-02-09","Poprad-Tatry",0,0
"Ex 42","2026-02-09","Štrba",0,0
"Ex 42","2026-02-09","Liptovský Mikuláš",0,0
"Ex 42","2026-02-09","Ružomberok",0,0
"Ex 42","2026-02-09","Kraľovany",0,0
"Ex 42","2026-02-09","Vrútky",0,0
"Ex 42","2026-02-09","Žilina",0,0
"Ex 42","2026-02-09","Považská Bystrica",8,8
"Ex 42","2026-02-09","Púchov",6,-2
"Ex 42","2026-02-09","Trenčín",21,15
"Ex 42","2026-02-09","Trnava",18,-3
"Ex 42","2026-02-09","Bratislava-Vinohrady",15,-3
"Ex 42","2026-02-09","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-10","Košice",0,NULL
"Ex 42","2026-02-10","Kysak",0,0
"Ex 42","2026-02-10","Margecany",0,0
"Ex 42","2026-02-10","Spišská Nová Ves",0,0
"Ex 42","2026-02-10","Poprad-Tatry",17,17
"Ex 42","2026-02-10","Štrba",15,-2
"Ex 42","2026-02-10","Liptovský Mikuláš",14,-1
"Ex 42","2026-02-10","Ružomberok",12,-2
"Ex 42","2026-02-10","Kraľovany",10,-2
"Ex 42","2026-02-10","Vrútky",9,-1
"Ex 42","2026-02-10","Žilina",7,-2
"Ex 42","2026-02-10","Považská Bystrica",6,-1
"Ex 42","2026-02-10","Púchov",5,-1
"Ex 42","2026-02-10","Trenčín",3,-2
"Ex 42","2026-02-10","Trnava",1,-2
"Ex 42","2026-02-10","Bratislava-Vinohrady",0,-1
"Ex 42","2026-02-10","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-11","Košice",0,NULL
"Ex 42","2026-02-11","Kysak",0,0
"Ex 42","2026-02-11","Margecany",0,0
"Ex 42","2026-02-11","Spišská Nová Ves",0,0
"Ex 42","2026-02-11","Poprad-Tatry",0,0
"Ex 42","2026-02-11","Štrba",6,6
"Ex 42","2026-02-11","Liptovský Mikuláš",5,-1
"Ex 42","2026-02-11","Ružomberok",2,-3
"Ex 42","2026-02-11","Kraľovany",2,0
"Ex 42","2026-02-11","Vrútky",0,-2
"Ex 42","2026-02-11","Žilina",0,0
"Ex 42","2026-02-11","Považská Bystrica",26,26
"Ex 42","2026-02-11","Púchov",25,-1
"Ex 42","2026-02-11","Trenčín",25,0
"Ex 42","2026-02-11","Trnava",25,0
"Ex 42","2026-02-11","Bratislava-Vinohrady",25,0
"Ex 42","2026-02-11","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-12","Košice",0,NULL
"Ex 42","2026-02-12","Kysak",0,0
"Ex 42","2026-02-12","Margecany",0,0
"Ex 42","2026-02-12","Spišská Nová Ves",0,0
"Ex 42","2026-02-12","Poprad-Tatry",0,0
"Ex 42","2026-02-12","Štrba",0,0
"Ex 42","2026-02-12","Liptovský Mikuláš",0,0
"Ex 42","2026-02-12","Ružomberok",0,0
"Ex 42","2026-02-12","Kraľovany",0,0
"Ex 42","2026-02-12","Vrútky",0,0
"Ex 42","2026-02-12","Žilina",0,0
"Ex 42","2026-02-12","Považská Bystrica",7,7
"Ex 42","2026-02-12","Púchov",7,0
"Ex 42","2026-02-12","Trenčín",6,-1
"Ex 42","2026-02-12","Trnava",7,1
"Ex 42","2026-02-12","Bratislava-Vinohrady",10,3
"Ex 42","2026-02-12","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-13","Košice",6,NULL
"Ex 42","2026-02-13","Kysak",4,-2
"Ex 42","2026-02-13","Margecany",2,-2
"Ex 42","2026-02-13","Spišská Nová Ves",0,-2
"Ex 42","2026-02-13","Poprad-Tatry",0,0
"Ex 42","2026-02-13","Štrba",0,0
"Ex 42","2026-02-13","Liptovský Mikuláš",0,0
"Ex 42","2026-02-13","Ružomberok",0,0
"Ex 42","2026-02-13","Kraľovany",8,8
"Ex 42","2026-02-13","Vrútky",5,-3
"Ex 42","2026-02-13","Žilina",5,0
"Ex 42","2026-02-13","Považská Bystrica",5,0
"Ex 42","2026-02-13","Púchov",3,-2
"Ex 42","2026-02-13","Trenčín",2,-1
"Ex 42","2026-02-13","Trnava",0,-2
"Ex 42","2026-02-13","Bratislava-Vinohrady",0,0
"Ex 42","2026-02-13","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-14","Košice",0,NULL
"Ex 42","2026-02-14","Kysak",0,0
"Ex 42","2026-02-14","Margecany",8,8
"Ex 42","2026-02-14","Spišská Nová Ves",7,-1
"Ex 42","2026-02-14","Poprad-Tatry",10,3
"Ex 42","2026-02-14","Štrba",9,-1
"Ex 42","2026-02-14","Liptovský Mikuláš",9,0
"Ex 42","2026-02-14","Ružomberok",9,0
"Ex 42","2026-02-14","Kraľovany",6,-3
"Ex 42","2026-02-14","Vrútky",8,2
"Ex 42","2026-02-14","Žilina",8,0
"Ex 42","2026-02-14","Považská Bystrica",7,-1
"Ex 42","2026-02-14","Púchov",4,-3
"Ex 42","2026-02-14","Trenčín",3,-1
"Ex 42","2026-02-14","Trnava",5,2
"Ex 42","2026-02-14","Bratislava-Vinohrady",4,-1
"Ex 42","2026-02-14","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-15","Košice",6,NULL
"Ex 42","2026-02-15","Kysak",5,-1
"Ex 42","2026-02-15","Margecany",5,0
"Ex 42","2026-02-15","Spišská Nová Ves",2,-3
"Ex 42","2026-02-15","Poprad-Tatry",5,3
"Ex 42","2026-02-15","Štrba",3,-2
"Ex 42","2026-02-15","Liptovský Mikuláš",2,-1
"Ex 42","2026-02-15","Ružomberok",1,-1
"Ex 42","2026-02-15","Kraľovany",26,25
"Ex 42","2026-02-15","Vrútky",24,-2
"Ex 42","2026-02-15","Žilina",22,-2
"Ex 42","2026-02-15","Považská Bystrica",20,-2
"Ex 42","2026-02-15","Púchov",17,-3
"Ex 42","2026-02-15","Trenčín",15,-2
"Ex 42","2026-02-15","Trnava",15,0
"Ex 42","2026-02-15","Bratislava-Vinohrady",15,0
"Ex 42","2026-02-15","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-16","Košice",0,NULL
"Ex 42","2026-02-16","Kysak",0,0
"Ex 42","2026-02-16","Margecany",20,20
"Ex 42","2026-02-16","Spišská Nová Ves",20,0
"Ex 42","2026-02-16","Poprad-Tatry",19,-1
"Ex 42","2026-02-16","Štrba",17,-2
"Ex 42","2026-02-16","Liptovský Mikuláš",19,2
"Ex 42","2026-02-16","Ružomberok",30,11
"Ex 42","2026-02-16","Kraľovany",29,-1
"Ex 42","2026-02-16","Vrútky",27,-2
"Ex 42","2026-02-16","Žilina",26,-1
"Ex 42","2026-02-16","Považská Bystrica",26,0
"Ex 42","2026-02-16","Púchov",23,-3
"Ex 42","2026-02-16","Trenčín",20,-3
"Ex 42","2026-02-16","Trnava",19,-1
"Ex 42","2026-02-16","Bratislava-Vinohrady",18,-1
"Ex 42","2026-02-16","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-17","Košice",0,NULL
"Ex 42","2026-02-17","Kysak",0,0
"Ex 42","2026-02-17","Margecany",4,4
"Ex 42","2026-02-17","Spišská Nová Ves",3,-1
"Ex 42","2026-02-17","Poprad-Tatry",0,-3
"Ex 42","2026-02-17","Štrba",4,4
"Ex 42","2026-02-17","Liptovský Mikuláš",56,52
"Ex 42","2026-02-17","Ružomberok",55,-1
"Ex 42","2026-02-17","Kraľovany",53,-2
"Ex 42","2026-02-17","Vrútky",51,-2
"Ex 42","2026-02-17","Žilina",51,0
"Ex 42","2026-02-17","Považská Bystrica",49,-2
"Ex 42","2026-02-17","Púchov",49,0
"Ex 42","2026-02-17","Trenčín",47,-2
"Ex 42","2026-02-17","Trnava",44,-3
"Ex 42","2026-02-17","Bratislava-Vinohrady",41,-3
"Ex 42","2026-02-17","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-18","Košice",7,NULL
"Ex 42","2026-02-18","Kysak",9,2
"Ex 42","2026-02-18","Margecany",9,0
"Ex 42","2026-02-18","Spišská Nová Ves",28,19
"Ex 42","2026-02-18","Poprad-Tatry",25,-3
"Ex 42","2026-02-18","Štrba",22,-3
"Ex 42","2026-02-18","Liptovský Mikuláš",19,-3
"Ex 42","2026-02-18","Ružomberok",16,-3
"Ex 42","2026-02-18","Kraľovany",16,0
"Ex 42","2026-02-18","Vrútky",15,-1
"Ex 42","2026-02-18","Žilina",30,15
"Ex 42","2026-02-18","Považská Bystrica",27,-3
"Ex 42","2026-02-18","Púchov",24,-3
"Ex 42","2026-02-18","Trenčín",22,-2
"Ex 42","2026-02-18","Trnava",20,-2
"Ex 42","2026-02-18","Bratislava-Vinohrady",20,0
"Ex 42","2026-02-18","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-19","Košice",0,NULL
"Ex 42","2026-02-19","Kysak",5,5
"Ex 42","2026-02-19","Margecany",2,-3
"Ex 42","2026-02-19","Spišská Nová Ves",10,8
"Ex 42","2026-02-19","Poprad-Tatry",9,-1
"Ex 42","2026-02-19","Štrba",9,0
"Ex 42","2026-02-19","Liptovský Mikuláš",9,0
"Ex 42","2026-02-19","Ružomberok",6,-3
"Ex 42","2026-02-19","Kraľovany",4,-2
"Ex 42","2026-02-19","Vrútky",4,0
"Ex 42","2026-02-19","Žilina",3,-1
"Ex 42","2026-02-19","Považská Bystrica",3,0
"Ex 42","2026-02-19","Púchov",3,0
"Ex 42","2026-02-19","Trenčín",10,7
"Ex 42","2026-02-19","Trnava",8,-2
"Ex 42","2026-02-19","Bratislava-Vinohrady",8,0
"Ex 42","2026-02-19","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-20","Košice",0,NULL
"Ex 42","2026-02-20","Kysak",0,0
"Ex 42","2026-02-20","Margecany",0,0
"Ex 42","2026-02-20","Spišská Nová Ves",0,0
"Ex 42","2026-02-20","Poprad-Tatry",0,0
"Ex 42","2026-02-20","Štrba",0,0
"Ex 42","2026-02-20","Liptovský Mikuláš",29,29
"Ex 42","2026-02-20","Ružomberok",28,-1
"Ex 42","2026-02-20","Kraľovany",26,-2
"Ex 42","2026-02-20","Vrútky",25,-1
"Ex 42","2026-02-20","Žilina",22,-3
"Ex 42","2026-02-20","Považská Bystrica",22,0
"Ex 42","2026-02-20","Púchov",20,-2
"Ex 42","2026-02-20","Trenčín",18,-2
"Ex 42","2026-02-20","Trnava",18,0
"Ex 42","2026-02-20","Bratislava-Vinohrady",17,-1
"Ex 42","2026-02-20","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-21","Košice",0,NULL
"Ex 42","2026-02-21","Kysak",0,0
"Ex 42","2026-02-21","Margecany",0,0
"Ex 42","2026-02-21","Spišská Nová Ves",4,4
"Ex 42","2026-02-21","Poprad-Tatry",1,-3
"Ex 42","2026-02-21","Štrba",0,-1
"Ex 42","2026-02-21","Liptovský Mikuláš",0,0
"Ex 42","2026-02-21","Ružomberok",0,0
"Ex 42","2026-02-21","Kraľovany",0,0
"Ex 42","2026-02-21","Vrútky",0,0
"Ex 42","2026-02-21","Žilina",0,0
"Ex 42","2026-02-21","Považská Bystrica",0,0
"Ex 42","2026-02-21","Púchov",11,11
"Ex 42","2026-02-21","Trenčín",8,-3
"Ex 42","2026-02-21","Trnava",7,-1
"Ex 42","2026-02-21","Bratislava-Vinohrady",6,-1
"Ex 42","2026-02-21","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-22","Košice",0,NULL
"Ex 42","2026-02-22","Kysak",0,0
"Ex 42","2026-02-22","Margecany",9,9
"Ex 42","2026-02-22","Spišská Nová Ves",9,0
"Ex 42","2026-02-22","Poprad-Tatry",9,0
"Ex 42","2026-02-22","Štrba",6,-3
"Ex 42","2026-02-22","Liptovský Mikuláš",4,-2
"Ex 42","2026-02-22","Ružomberok",10,6
"Ex 42","2026-02-22","Kraľovany",10,0
"Ex 42","2026-02-22","Vrútky",9,-1
"Ex 42","2026-02-22","Žilina",8,-1
"Ex 42","2026-02-22","Považská Bystrica",8,0
"Ex 42","2026-02-22","Púchov",8,0
"Ex 42","2026-02-22","Trenčín",5,-3
"Ex 42","2026-02-22","Trnava",5,0
"Ex 42","2026-02-22","Bratislava-Vinohrady",9,4
"Ex 42","2026-02-22","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-23","Košice",0,NULL
"Ex 42","2026-02-23","Kysak",0,0
"Ex 42","2026-02-23","Margecany",0,0
"Ex 42","2026-02-23","Spišská Nová Ves",0,0
"Ex 42","2026-02-23","Poprad-Tatry",0,0
"Ex 42","2026-02-23","Štrba",0,0
"Ex 42","2026-02-23","Liptovský Mikuláš",0,0
"Ex 42","2026-02-23","Ružomberok",0,0
"Ex 42","2026-02-23","Kraľovany",0,0
"Ex 42","2026-02-23","Vrútky",0,0
"Ex 42","2026-02-23","Žilina",0,0
"Ex 42","2026-02-23","Považská Bystrica",0,0
"Ex 42","2026-02-23","Púchov",0,0
"Ex 42","2026-02-23","Trenčín",10,10
"Ex 42","2026-02-23","Trnava",18,8
"Ex 42","2026-02-23","Bratislava-Vinohrady",18,0
"Ex 42","2026-02-23","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-24","Košice",8,NULL
"Ex 42","2026-02-24","Kysak",6,-2
"Ex 42","2026-02-24","Margecany",6,0
"Ex 42","2026-02-24","Spišská Nová Ves",4,-2
"Ex 42","2026-02-24","Poprad-Tatry",4,0
"Ex 42","2026-02-24","Štrba",1,-3
"Ex 42","2026-02-24","Liptovský Mikuláš",0,-1
"Ex 42","2026-02-24","Ružomberok",0,0
"Ex 42","2026-02-24","Kraľovany",0,0
"Ex 42","2026-02-24","Vrútky",0,0
"Ex 42","2026-02-24","Žilina",3,3
"Ex 42","2026-02-24","Považská Bystrica",1,-2
"Ex 42","2026-02-24","Púchov",1,0
"Ex 42","2026-02-24","Trenčín",0,-1
"Ex 42","2026-02-24","Trnava",0,0
"Ex 42","2026-02-24","Bratislava-Vinohrady",0,0
"Ex 42","2026-02-24","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-25","Košice",0,NULL
"Ex 42","2026-02-25","Kysak",0,0
"Ex 42","2026-02-25","Margecany",0,0
"Ex 42","2026-02-25","Spišská Nová Ves",0,0
"Ex 42","2026-02-25","Poprad-Tatry",0,0
"Ex 42","2026-02-25","Štrba",5,5
"Ex 42","2026-02-25","Liptovský Mikuláš",3,-2
"Ex 42","2026-02-25","Ružomberok",1,-2
"Ex 42","2026-02-25","Kraľovany",0,-1
"Ex 42","2026-02-25","Vrútky",0,0
"Ex 42","2026-02-25","Žilina",0,0
"Ex 42","2026-02-25","Považská Bystrica",6,6
"Ex 42","2026-02-25","Púchov",3,-3
"Ex 42","2026-02-25","Trenčín",1,-2
"Ex 42","2026-02-25","Trnava",1,0
"Ex 42","2026-02-25","Bratislava-Vinohrady",1,0
"Ex 42","2026-02-25","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-26","Košice",80,NULL
"Ex 42","2026-02-26","Kysak",78,-2
"Ex 42","2026-02-26","Margecany",78,0
"Ex 42","2026-02-26","Spišská Nová Ves",75,-3
"Ex 42","2026-02-26","Poprad-Tatry",75,0
"Ex 42","2026-02-26","Štrba",75,0
"Ex 42","2026-02-26","Liptovský Mikuláš",75,0
"Ex 42","2026-02-26","Ružomberok",74,-1
"Ex 42","2026-02-26","Kraľovany",72,-2
"Ex 42","2026-02-26","Vrútky",69,-3
"Ex 42","2026-02-26","Žilina",67,-2
"Ex 42","2026-02-26","Považská Bystrica",66,-1
"Ex 42","2026-02-26","Púchov",65,-1
"Ex 42","2026-02-26","Trenčín",64,-1
"Ex 42","2026-02-26","Trnava",61,-3
"Ex 42","2026-02-26","Bratislava-Vinohrady",60,-1
"Ex 42","2026-02-26","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-27","Košice",8,NULL
"Ex 42","2026-02-27","Kysak",8,0
"Ex 42","2026-02-27","Margecany",5,-3
"Ex 42","2026-02-27","Spišská Nová Ves",2,-3
"Ex 42","2026-02-27","Poprad-Tatry",0,-2
"Ex 42","2026-02-27","Štrba",2,2
"Ex 42","2026-02-27","Liptovský Mikuláš",10,8
"Ex 42","2026-02-27","Ružomberok",10,0
"Ex 42","2026-02-27","Kraľovany",9,-1
"Ex 42","2026-02-27","Vrútky",9,0
"Ex 42","2026-02-27","Žilina",6,-3
"Ex 42","2026-02-27","Považská Bystrica",5,-1
"Ex 42","2026-02-27","Púchov",4,-1
"Ex 42","2026-02-27","Trenčín",10,6
"Ex 42","2026-02-27","Trnava",10,0
"Ex 42","2026-02-27","Bratislava-Vinohrady",7,-3
"Ex 42","2026-02-27","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-02-28","Košice",0,NULL
"Ex 42","2026-02-28","Kysak",0,0
"Ex 42","2026-02-28","Margecany",0,0
"Ex 42","2026-02-28","Spišská Nová Ves",0,0
"Ex 42","2026-02-28","Poprad-Tatry",0,0
"Ex 42","2026-02-28","Štrba",0,0
"Ex 42","2026-02-28","Liptovský Mikuláš",0,0
"Ex 42","2026-02-28","Ružomberok",4,4
"Ex 42","2026-02-28","Kraľovany",1,-3
"Ex 42","2026-02-28","Vrútky",1,0
"Ex 42","2026-02-28","Žilina",1,0
"Ex 42","2026-02-28","Považská Bystrica",4,3
"Ex 42","2026-02-28","Púchov",16,12
"Ex 42","2026-02-28","Trenčín",16,0
"Ex 42","2026-02-28","Trnava",16,0
"Ex 42","2026-02-28","Bratislava-Vinohrady",14,-2
"Ex 42","2026-02-28","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-01","Košice",5,NULL
"Ex 42","2026-03-01","Kysak",5,0
"Ex 42","2026-03-01","Margecany",3,-2
"Ex 42","2026-03-01","Spišská Nová Ves",8,5
"Ex 42","2026-03-01","Poprad-Tatry",6,-2
"Ex 42","2026-03-01","Štrba",5,-1
"Ex 42","2026-03-01","Liptovský Mikuláš",9,4
"Ex 42","2026-03-01","Ružomberok",25,16
"Ex 42","2026-03-01","Kraľovany",25,0
"Ex 42","2026-03-01","Vrútky",24,-1
"Ex 42","2026-03-01","Žilina",23,-1
"Ex 42","2026-03-01","Považská Bystrica",20,-3
"Ex 42","2026-03-01","Púchov",18,-2
"Ex 42","2026-03-01","Trenčín",17,-1
"Ex 42","2026-03-01","Trnava",15,-2
"Ex 42","2026-03-01","Bratislava-Vinohrady",12,-3
"Ex 42","2026-03-01","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-02","Košice",0,NULL
"Ex 42","2026-03-02","Kysak",25,25
"Ex 42","2026-03-02","Margecany",65,40
"Ex 42","2026-03-02","Spišská Nová Ves",65,0
"Ex 42","2026-03-02","Poprad-Tatry",62,-3
"Ex 42","2026-03-02","Štrba",61,-1
"Ex 42","2026-03-02","Liptovský Mikuláš",61,0
"Ex 42","2026-03-02","Ružomberok",58,-3
"Ex 42","2026-03-02","Kraľovany",55,-3
"Ex 42","2026-03-02","Vrútky",55,0
"Ex 42","2026-03-02","Žilina",54,-1
"Ex 42","2026-03-02","Považská Bystrica",51,-3
"Ex 42","2026-03-02","Púchov",51,0
"Ex 42","2026-03-02","Trenčín",48,-3
"Ex 42","2026-03-02","Trnava",46,-2
"Ex 42","2026-03-02","Bratislava-Vinohrady",46,0
"Ex 42","2026-03-02","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-03","Košice",0,NULL
"Ex 42","2026-03-03","Kysak",0,0
"Ex 42","2026-03-03","Margecany",0,0
"Ex 42","2026-03-03","Spišská Nová Ves",0,0
"Ex 42","2026-03-03","Poprad-Tatry",0,0
"Ex 42","2026-03-03","Štrba",0,0
"Ex 42","2026-03-03","Liptovský Mikuláš",0,0
"Ex 42","2026-03-03","Ružomberok",6,6
"Ex 42","2026-03-03","Kraľovany",3,-3
"Ex 42","2026-03-03","Vrútky",21,18
"Ex 42","2026-03-03","Žilina",21,0
"Ex 42","2026-03-03","Považská Bystrica",18,-3
"Ex 42","2026-03-03","Púchov",15,-3
"Ex 42","2026-03-03","Trenčín",12,-3
"Ex 42","2026-03-03","Trnava",12,0
"Ex 42","2026-03-03","Bratislava-Vinohrady",9,-3
"Ex 42","2026-03-03","Bratislava hl.st.",NULL,NULL
"Ex 42","2026-03-04","Košice",0,NULL
"Ex 42","2026-03-04","Kysak",0,0
"Ex 42","2026-03-04","Margecany",30,30
"Ex 42","2026-03-04","Spišská Nová Ves",28,-2
"Ex 42","2026-03-04","Poprad-Tatry",29,1
"Ex 42","2026-03-04","Štrba",26,-3
