"train_number","series_length","from_date","to_date"
"EC 280","20","2026-01-27","2026-02-15"
"Ex 627","20","2026-03-12","2026-03-31"
"IC 131","20","2026-03-08","2026-03-27"
"Os 7320","20","2026-01-01","2026-01-20"
"EC 142","19","2026-01-01","2026-01-19"
"EC 283","19","2026-03-13","2026-03-31"
"EN 442","19","2026-01-01","2026-01-19"
"EN 442","19","2026-02-15","2026-03-05"
"Ex 47","19","2026-02-01","2026-02-19"
"Ex 618","19","2026-03-13","2026-03-31"
"Ex 640","19","2026-02-01","2026-02-19"
"Ex 643","19","2026-03-04","2026-03-22"
"Os 8512","19","2026-03-13","2026-03-31"
"Os 18009","18","2026-02-07","2026-02-24"
"Os 2028","18","2026-01-09","2026-01-26"
"Ex 526","16","2026-03-08","2026-03-23"
"EN 476","15","2026-01-01","2026-01-15"
"Ex 44","15","2026-03-17","2026-03-31"
"Os 5534","15","2026-03-17","2026-03-31"
"EC 143","14","2026-03-12","2026-03-25"
"EC 280","13","2026-01-01","2026-01-13"
"EN 443","13","2026-02-24","2026-03-08"
"Ex 610","13","2026-02-01","2026-02-13"
"EC 140","12","2026-03-20","2026-03-31"
"EC 145","12","2026-03-17","2026-03-28"
"Ex 609","12","2026-02-13","2026-02-24"
"Ex 611","12","2026-02-01","2026-02-12"
"Os 5525","12","2026-03-20","2026-03-31"
"EC 280","11","2026-01-15","2026-01-25"
"Ex 45","11","2026-02-01","2026-02-11"
"Ex 612","11","2026-03-21","2026-03-31"
"Os 5137","11","2026-01-01","2026-01-11"
"Os 5525","11","2026-02-25","2026-03-07"
"Os 8025","11","2026-03-21","2026-03-31"
"Os 8102","11","2026-03-14","2026-03-24"
"Ex 47","10","2026-03-22","2026-03-31"
"Ex 502","10","2026-02-01","2026-02-10"
"Ex 624","10","2026-02-27","2026-03-08"
"Os 2028","10","2026-01-28","2026-02-06"
"Os 5525","10","2026-03-09","2026-03-18"
"Os 8533","10","2026-03-22","2026-03-31"
"Os 5153","9","2026-03-19","2026-03-27"
"REX 2527","9","2026-01-01","2026-01-09"
"Ex 643","8","2026-03-24","2026-03-31"
"Os 18009","8","2026-01-29","2026-02-05"
"Os 8102","8","2026-02-08","2026-02-15"
"Ex 526","7","2026-03-25","2026-03-31"
"Ex 617","7","2026-03-25","2026-03-31"
"Os 18022","7","2026-02-26","2026-03-04"
"Os 2028","7","2026-03-25","2026-03-31"
"Os 9009","7","2026-02-10","2026-02-16"
"EC 141","6","2026-03-26","2026-03-31"
"Ex 46","6","2026-03-26","2026-03-31"
"Ex 609","6","2026-02-05","2026-02-10"
"Ex 612","6","2026-02-01","2026-02-06"
"Ex 627","6","2026-02-01","2026-02-06"
"Ex 651","6","2026-02-01","2026-02-06"
"Ex 651","6","2026-02-08","2026-02-13"
"Ex 651","6","2026-02-15","2026-02-20"
"Ex 651","6","2026-02-22","2026-02-27"
"Ex 651","6","2026-03-08","2026-03-13"
"Ex 651","6","2026-03-15","2026-03-20"
"Ex 651","6","2026-03-22","2026-03-27"
"Ex 652","6","2026-02-02","2026-02-07"
"Ex 652","6","2026-02-09","2026-02-14"
"Ex 652","6","2026-02-16","2026-02-21"
"Ex 652","6","2026-02-23","2026-02-28"
"Ex 652","6","2026-03-02","2026-03-07"
"Ex 652","6","2026-03-09","2026-03-14"
"Ex 652","6","2026-03-16","2026-03-21"
"Ex 652","6","2026-03-23","2026-03-28"
"Os 8025","6","2026-01-01","2026-01-06"
"Os 8102","6","2026-03-26","2026-03-31"
"Os 8108","6","2026-02-16","2026-02-21"
"Os 8123","6","2026-03-22","2026-03-27"
"Os 8208","6","2026-01-01","2026-01-06"
"EC 130","5","2026-03-27","2026-03-31"
"EC 143","5","2026-03-27","2026-03-31"
"Ex 614","5","2026-02-01","2026-02-05"
"Ex 629","5","2026-03-05","2026-03-09"
"Os 3340","5","2026-02-02","2026-02-06"
"Os 3340","5","2026-02-09","2026-02-13"
"Os 3340","5","2026-02-16","2026-02-20"
"Os 3340","5","2026-02-23","2026-02-27"
"Os 3340","5","2026-03-02","2026-03-06"
"Os 3340","5","2026-03-09","2026-03-13"
"Os 3340","5","2026-03-16","2026-03-20"
"Os 3340","5","2026-03-23","2026-03-27"
"Os 4018","5","2026-01-05","2026-01-09"
"Os 4018","5","2026-01-12","2026-01-16"
"Os 4018","5","2026-01-19","2026-01-23"
"Os 4018","5","2026-01-26","2026-01-30"
"Os 4018","5","2026-02-09","2026-02-13"
"Os 4018","5","2026-02-16","2026-02-20"
"Os 4018","5","2026-02-23","2026-02-27"
"Os 4018","5","2026-03-02","2026-03-06"
"Os 4018","5","2026-03-09","2026-03-13"
"Os 4018","5","2026-03-16","2026-03-20"
"Os 4018","5","2026-03-23","2026-03-27"
"Os 4375","5","2026-01-05","2026-01-09"
"Os 4375","5","2026-01-26","2026-01-30"
"Os 4375","5","2026-02-02","2026-02-06"
"Os 4375","5","2026-02-09","2026-02-13"
"Os 4375","5","2026-02-16","2026-02-20"
"Os 4375","5","2026-02-23","2026-02-27"
"Os 4375","5","2026-03-02","2026-03-06"
"Os 4375","5","2026-03-09","2026-03-13"
"Os 4375","5","2026-03-16","2026-03-20"
"Os 4375","5","2026-03-23","2026-03-27"
"Os 4376","5","2026-01-05","2026-01-09"
"Os 4376","5","2026-01-19","2026-01-23"
"Os 4376","5","2026-01-26","2026-01-30"
"Os 4376","5","2026-02-02","2026-02-06"
"Os 4376","5","2026-02-09","2026-02-13"
"Os 4376","5","2026-02-16","2026-02-20"
"Os 4376","5","2026-02-23","2026-02-27"
"Os 4376","5","2026-03-02","2026-03-06"
"Os 4376","5","2026-03-09","2026-03-13"
"Os 4376","5","2026-03-16","2026-03-20"
"Os 4376","5","2026-03-23","2026-03-27"
"Os 4502","5","2026-01-05","2026-01-09"
"Os 4502","5","2026-01-12","2026-01-16"
"Os 4502","5","2026-01-19","2026-01-23"
"Os 4502","5","2026-01-26","2026-01-30"
"Os 4502","5","2026-02-02","2026-02-06"
"Os 4502","5","2026-02-09","2026-02-13"
"Os 4502","5","2026-02-23","2026-02-27"
"Os 4502","5","2026-03-02","2026-03-06"
"Os 4502","5","2026-03-09","2026-03-13"
"Os 4502","5","2026-03-16","2026-03-20"
"Os 4502","5","2026-03-23","2026-03-27"
"Os 4505","5","2026-01-05","2026-01-09"
"Os 4505","5","2026-01-12","2026-01-16"
"Os 4505","5","2026-02-02","2026-02-06"
"Os 4505","5","2026-02-09","2026-02-13"
"Os 4505","5","2026-02-16","2026-02-20"
"Os 4505","5","2026-02-23","2026-02-27"
"Os 4505","5","2026-03-02","2026-03-06"
"Os 4505","5","2026-03-09","2026-03-13"
"Os 4505","5","2026-03-16","2026-03-20"
"Os 4505","5","2026-03-23","2026-03-27"
"Os 4510","5","2026-01-05","2026-01-09"
"Os 4510","5","2026-01-12","2026-01-16"
"Os 4510","5","2026-01-19","2026-01-23"
"Os 4510","5","2026-01-26","2026-01-30"
"Os 4510","5","2026-02-09","2026-02-13"
"Os 4510","5","2026-02-16","2026-02-20"
"Os 4510","5","2026-02-23","2026-02-27"
"Os 4510","5","2026-03-02","2026-03-06"
"Os 4510","5","2026-03-16","2026-03-20"
"Os 4510","5","2026-03-23","2026-03-27"
"Os 4775","5","2026-01-05","2026-01-09"
"Os 4775","5","2026-01-12","2026-01-16"
"Os 4775","5","2026-01-19","2026-01-23"
"Os 4775","5","2026-01-26","2026-01-30"
"Os 4775","5","2026-02-16","2026-02-20"
"Os 4775","5","2026-02-23","2026-02-27"
"Os 4775","5","2026-03-02","2026-03-06"
"Os 4775","5","2026-03-09","2026-03-13"
"Os 4775","5","2026-03-16","2026-03-20"
"Os 4775","5","2026-03-23","2026-03-27"
"Os 4818","5","2026-01-05","2026-01-09"
"Os 4818","5","2026-01-12","2026-01-16"
"Os 4818","5","2026-01-19","2026-01-23"
"Os 4818","5","2026-01-26","2026-01-30"
"Os 4818","5","2026-02-09","2026-02-13"
"Os 4818","5","2026-02-16","2026-02-20"
"Os 4818","5","2026-02-23","2026-02-27"
"Os 4818","5","2026-03-09","2026-03-13"
"Os 4818","5","2026-03-23","2026-03-27"
"Os 5534","5","2026-03-11","2026-03-15"
"Os 6226","5","2026-01-05","2026-01-09"
"Os 6226","5","2026-01-12","2026-01-16"
"Os 6226","5","2026-01-26","2026-01-30"
"Os 6226","5","2026-02-02","2026-02-06"
"Os 6226","5","2026-02-09","2026-02-13"
"Os 6226","5","2026-02-23","2026-02-27"
"Os 6226","5","2026-03-02","2026-03-06"
"Os 6226","5","2026-03-23","2026-03-27"
"Os 7545","5","2026-01-05","2026-01-09"
"Os 7545","5","2026-01-12","2026-01-16"
"Os 7545","5","2026-01-19","2026-01-23"
"Os 7545","5","2026-01-26","2026-01-30"
"Os 7545","5","2026-02-02","2026-02-06"
"Os 7545","5","2026-02-16","2026-02-20"
"Os 7545","5","2026-03-02","2026-03-06"
"Os 7545","5","2026-03-16","2026-03-20"
"Os 7545","5","2026-03-23","2026-03-27"
"Os 8523","5","2026-01-05","2026-01-09"
"Os 8523","5","2026-01-12","2026-01-16"
"Os 8523","5","2026-01-19","2026-01-23"
"Os 8523","5","2026-01-26","2026-01-30"
"Os 8523","5","2026-02-02","2026-02-06"
"Os 8523","5","2026-02-09","2026-02-13"
"Os 8523","5","2026-02-16","2026-02-20"
"Os 8523","5","2026-02-23","2026-02-27"
"Os 8523","5","2026-03-02","2026-03-06"
"Os 8523","5","2026-03-09","2026-03-13"
"Os 8523","5","2026-03-16","2026-03-20"
"Os 8523","5","2026-03-23","2026-03-27"
"Os 9027","5","2026-01-05","2026-01-09"
"Os 9027","5","2026-01-12","2026-01-16"
"Os 9027","5","2026-01-19","2026-01-23"
"Os 9027","5","2026-01-26","2026-01-30"
"Os 9027","5","2026-02-02","2026-02-06"
"Os 9027","5","2026-02-09","2026-02-13"
"Os 9027","5","2026-02-16","2026-02-20"
"Os 9027","5","2026-02-23","2026-02-27"
"Os 9027","5","2026-03-02","2026-03-06"
"Os 9027","5","2026-03-16","2026-03-20"
"Os 9027","5","2026-03-23","2026-03-27"
"REX 1863","5","2026-01-05","2026-01-09"
"REX 1863","5","2026-01-12","2026-01-16"
"REX 1863","5","2026-01-19","2026-01-23"
"REX 1863","5","2026-01-26","2026-01-30"
"REX 1863","5","2026-02-02","2026-02-06"
"REX 1863","5","2026-02-09","2026-02-13"
"REX 1863","5","2026-02-16","2026-02-20"
"REX 1863","5","2026-03-02","2026-03-06"
"REX 1863","5","2026-03-16","2026-03-20"
"REX 1863","5","2026-03-23","2026-03-27"
"REX 1872","5","2026-01-05","2026-01-09"
"REX 1872","5","2026-01-12","2026-01-16"
"REX 1872","5","2026-01-19","2026-01-23"
"REX 1872","5","2026-01-26","2026-01-30"
"REX 1872","5","2026-02-02","2026-02-06"
"REX 1872","5","2026-02-16","2026-02-20"
"REX 1872","5","2026-02-23","2026-02-27"
"REX 1872","5","2026-03-02","2026-03-06"
"REX 1872","5","2026-03-09","2026-03-13"
"REX 1872","5","2026-03-16","2026-03-20"
"REX 1872","5","2026-03-23","2026-03-27"
"REX 1902","5","2026-01-05","2026-01-09"
"REX 1902","5","2026-01-12","2026-01-16"
"REX 1902","5","2026-01-19","2026-01-23"
"REX 1902","5","2026-01-26","2026-01-30"
"REX 1902","5","2026-02-02","2026-02-06"
"REX 1902","5","2026-02-09","2026-02-13"
"REX 1902","5","2026-02-16","2026-02-20"
"REX 1902","5","2026-02-23","2026-02-27"
"REX 1902","5","2026-03-02","2026-03-06"
"REX 1902","5","2026-03-09","2026-03-13"
"REX 1902","5","2026-03-16","2026-03-20"
"REX 1902","5","2026-03-23","2026-03-27"
"REX 1903","5","2026-01-05","2026-01-09"
"REX 1903","5","2026-01-12","2026-01-16"
"REX 1903","5","2026-01-19","2026-01-23"
"REX 1903","5","2026-01-26","2026-01-30"
"REX 1903","5","2026-02-09","2026-02-13"
"REX 1903","5","2026-02-16","2026-02-20"
"REX 1903","5","2026-02-23","2026-02-27"
"REX 1903","5","2026-03-09","2026-03-13"
"REX 1903","5","2026-03-16","2026-03-20"
"REX 1903","5","2026-03-23","2026-03-27"
"Ex 609","4","2026-03-28","2026-03-31"
"Os 4505","4","2026-01-20","2026-01-23"
"Os 4505","4","2026-01-26","2026-01-29"
"Os 4510","4","2026-02-02","2026-02-05"
"Os 4775","4","2026-02-10","2026-02-13"
"Os 4818","4","2026-03-03","2026-03-06"
"Os 6226","4","2026-01-19","2026-01-22"
"Os 6226","4","2026-03-09","2026-03-12"
"Os 7545","4","2026-02-24","2026-02-27"
"Os 8533","4","2026-01-01","2026-01-04"
"Os 9009","4","2026-01-01","2026-01-04"
"Os 9027","4","2026-03-09","2026-03-12"
"REX 1903","4","2026-03-02","2026-03-05"
"Ex 609","3","2026-02-01","2026-02-03"
"Ex 614","3","2026-02-07","2026-02-09"
"Ex 619","3","2026-03-29","2026-03-31"
"Ex 620","3","2026-03-29","2026-03-31"
"Ex 622","3","2026-02-01","2026-02-03"
"Ex 651","3","2026-03-01","2026-03-03"
"Ex 651","3","2026-03-29","2026-03-31"
"IC 131","3","2026-03-29","2026-03-31"
"Os 2028","3","2026-02-08","2026-02-10"
"Os 3011","3","2026-03-29","2026-03-31"
"Os 4018","3","2026-02-02","2026-02-04"
"Os 4375","3","2026-01-14","2026-01-16"
"Os 4375","3","2026-01-21","2026-01-23"
"Os 4502","3","2026-02-16","2026-02-18"
"Os 4510","3","2026-03-09","2026-03-11"
"Os 4775","3","2026-02-04","2026-02-06"
"Os 4818","3","2026-02-02","2026-02-04"
"Os 4818","3","2026-03-18","2026-03-20"
"Os 7545","3","2026-03-11","2026-03-13"
"Os 8016","3","2026-03-29","2026-03-31"
"Os 8123","3","2026-03-29","2026-03-31"
"REX 1863","3","2026-02-23","2026-02-25"
"REX 1863","3","2026-03-11","2026-03-13"
"REX 1903","3","2026-02-02","2026-02-04"
"EC 144","2","2026-03-27","2026-03-28"
"EC 144","2","2026-03-30","2026-03-31"
"EC 145","2","2026-03-30","2026-03-31"
"Ex 614","2","2026-02-11","2026-02-12"
"Ex 651","2","2026-03-05","2026-03-06"
"Ex 652","2","2026-03-30","2026-03-31"
"Os 18022","2","2026-03-30","2026-03-31"
"Os 3340","2","2026-03-30","2026-03-31"
"Os 4018","2","2026-01-01","2026-01-02"
"Os 4018","2","2026-03-30","2026-03-31"
"Os 4375","2","2026-01-01","2026-01-02"
"Os 4375","2","2026-03-30","2026-03-31"
"Os 4376","2","2026-03-30","2026-03-31"
"Os 4502","2","2026-01-01","2026-01-02"
"Os 4502","2","2026-03-30","2026-03-31"
"Os 4505","2","2026-01-01","2026-01-02"
"Os 4505","2","2026-03-30","2026-03-31"
"Os 4510","2","2026-01-01","2026-01-02"
"Os 4510","2","2026-03-30","2026-03-31"
"Os 4775","2","2026-01-01","2026-01-02"
"Os 4775","2","2026-03-30","2026-03-31"
"Os 4818","2","2026-01-01","2026-01-02"
"Os 4818","2","2026-03-30","2026-03-31"
"Os 5153","2","2026-03-30","2026-03-31"
"Os 6226","2","2026-01-01","2026-01-02"
"Os 6226","2","2026-02-16","2026-02-17"
"Os 6226","2","2026-02-19","2026-02-20"
"Os 6226","2","2026-03-16","2026-03-17"
"Os 6226","2","2026-03-19","2026-03-20"
"Os 6226","2","2026-03-30","2026-03-31"
"Os 7545","2","2026-02-09","2026-02-10"
"Os 7545","2","2026-02-12","2026-02-13"
"Os 7545","2","2026-03-30","2026-03-31"
"Os 8108","2","2026-02-13","2026-02-14"
"Os 8512","2","2026-01-01","2026-01-02"
"Os 8523","2","2026-01-01","2026-01-02"
"Os 8523","2","2026-03-30","2026-03-31"
"Os 9027","2","2026-01-01","2026-01-02"
"REX 1863","2","2026-01-01","2026-01-02"
"REX 1863","2","2026-03-30","2026-03-31"
"REX 1872","2","2026-01-01","2026-01-02"
"REX 1872","2","2026-02-09","2026-02-10"
"REX 1872","2","2026-02-12","2026-02-13"
"REX 1872","2","2026-03-30","2026-03-31"
"REX 1902","2","2026-01-01","2026-01-02"
"REX 1902","2","2026-03-30","2026-03-31"
"REX 1903","2","2026-01-01","2026-01-02"
"REX 1903","2","2026-03-30","2026-03-31"
"EC 298","1","2026-01-05","2026-01-05"
"EC 298","1","2026-01-12","2026-01-12"
"EC 298","1","2026-01-19","2026-01-19"
"EC 298","1","2026-01-26","2026-01-26"
"EC 298","1","2026-02-02","2026-02-02"
"EC 298","1","2026-02-09","2026-02-09"
"EC 298","1","2026-02-16","2026-02-16"
"EC 298","1","2026-02-23","2026-02-23"
"EC 298","1","2026-03-02","2026-03-02"
"EC 298","1","2026-03-09","2026-03-09"
"EC 298","1","2026-03-16","2026-03-16"
"EC 298","1","2026-03-23","2026-03-23"
"EC 298","1","2026-03-30","2026-03-30"
"EC 299","1","2026-01-04","2026-01-04"
"EC 299","1","2026-01-11","2026-01-11"
"EC 299","1","2026-01-18","2026-01-18"
"EC 299","1","2026-01-25","2026-01-25"
"EC 299","1","2026-02-01","2026-02-01"
"EC 299","1","2026-02-08","2026-02-08"
"EC 299","1","2026-02-15","2026-02-15"
"EC 299","1","2026-02-22","2026-02-22"
"EC 299","1","2026-03-01","2026-03-01"
"EC 299","1","2026-03-08","2026-03-08"
"EC 299","1","2026-03-15","2026-03-15"
"EC 299","1","2026-03-22","2026-03-22"
"EC 299","1","2026-03-29","2026-03-29"
"EN 97443","1","2026-01-02","2026-01-02"
"EN 97443","1","2026-01-09","2026-01-09"
"EN 97443","1","2026-01-16","2026-01-16"
"EN 97443","1","2026-01-23","2026-01-23"
"EN 97443","1","2026-01-30","2026-01-30"
"EN 97443","1","2026-02-06","2026-02-06"
"EN 97443","1","2026-02-13","2026-02-13"
"EN 97443","1","2026-02-20","2026-02-20"
"EN 97443","1","2026-02-27","2026-02-27"
"EN 97443","1","2026-03-06","2026-03-06"
"EN 97443","1","2026-03-13","2026-03-13"
"EN 97443","1","2026-03-20","2026-03-20"
"EN 97443","1","2026-03-27","2026-03-27"
"Ex 654","1","2026-03-31","2026-03-31"
"Os 4018","1","2026-02-06","2026-02-06"
"Os 4375","1","2026-01-12","2026-01-12"
"Os 4375","1","2026-01-19","2026-01-19"
"Os 4376","1","2026-01-01","2026-01-01"
"Os 4376","1","2026-01-12","2026-01-12"
"Os 4376","1","2026-01-14","2026-01-14"
"Os 4376","1","2026-01-16","2026-01-16"
"Os 4502","1","2026-02-20","2026-02-20"
"Os 4510","1","2026-03-13","2026-03-13"
"Os 4775","1","2026-02-02","2026-02-02"
"Os 4818","1","2026-02-06","2026-02-06"
"Os 4818","1","2026-03-16","2026-03-16"
"Os 7545","1","2026-01-01","2026-01-01"
"Os 7545","1","2026-03-09","2026-03-09"
"Os 9027","1","2026-03-31","2026-03-31"
"R 17840","1","2026-01-04","2026-01-04"
"R 17840","1","2026-01-11","2026-01-11"
"R 17840","1","2026-01-18","2026-01-18"
"R 17840","1","2026-01-25","2026-01-25"
"R 17840","1","2026-02-01","2026-02-01"
"R 17840","1","2026-02-08","2026-02-08"
"R 17840","1","2026-02-15","2026-02-15"
"R 17840","1","2026-02-22","2026-02-22"
"R 17840","1","2026-03-01","2026-03-01"
"R 17840","1","2026-03-08","2026-03-08"
"R 17840","1","2026-03-15","2026-03-15"
"R 17840","1","2026-03-22","2026-03-22"
"R 17840","1","2026-03-29","2026-03-29"
"REX 1863","1","2026-02-27","2026-02-27"
"REX 1863","1","2026-03-09","2026-03-09"
"REX 1903","1","2026-02-06","2026-02-06"
